Author,Year,Country,Ethnicity,Source_of_Controls,Types_of_Cancer,Cases,Controls,GG.Case,GA.Case,AA.Case,GG.Control,GA.Control,AA.Control
Qiu et al,2018 ,China,Asian,Hospital,Breast Cancer,427,536,226,166,35,314,202,20
Ghisari et al,2017 ,Danish,Caucasian,Population,Breast Cancer,136,186,32,56,48,42,76,68
Ghisari et al,2014 ,"Canada and Alaska, greenland",Caucasian,Hospital,Breast Cancer,31,113,7,11,13,19,53,41
Reding et al,2009 ,USA,Caucasian,Population,Breast Cancer,891,878,224,427,240,211,431,236
Sangrajrang et al,2009 ,Thailand,Asian,Hospital,Breast Cancer,565,486,290,233,42,266,190,30
Cote et al,2009 ,USA,Mixed,Population,Lung Cancer,497,523,134,251,112,151,244,128
Justenhoven et al,2008 ,Germany,Caucasian,Population,Breast Cancer,606,622,163,298,145,170,305,147
Onay et al,2008 ,Finland,Caucasian,Population,Breast Cancer,708,549,141,361,206,114,267,168
Yuan et al,2008 ,China,Asian,Hospital,Liver Cancer,420,475,258,144,18,286,157,32
Zienolddiny et al,2008 ,Norway,Caucasian,Population,Lung Cancer,257,270,163,62,32,202,60,8
Hirata et al,2008 ,USA,Caucasian,Population,Endometrial Cancer,150,165,32,81,37,48,90,27
Ralph et al,2007 ,USA,Caucasian,Hospital,Breast Cancer,1626,3286,396,825,405,755,1631,900
Takata et al,2007 ,USA,Mixed,Population,Breast Cancer,325,250,134,149,42,95,108,47
Tanaka et al,2007 ,Japan,Asian,Population,Renal Cancer,123,157,59,54,10,85,61,11
Holt et al,2007 ,USA,Mixed,Population,Ovarian Cancer,310,576,91,139,80,156,267,153
Gemignani et al,2007 ,Europe,Caucasian,Hospital,Lung Cancer,286,302,83,144,59,81,146,75
Hu et al,2007 ,China,Asian,Hospital,Breast Cancer,112,110,65,36,11,66,41,3
Holt et al,2007,USA,Caucasian,Population,Ovarian Cancer,277,450,72,129,76,104,209,137
Holt et al,2007,USA,African,Population,Ovarian Cancer,33,126,19,10,4,52,58,16
Gallicchio et al,2006 ,USA,Caucasian,Population,Breast Cancer,81,1251,16,41,24,272,608,371
Gaudet et al,2006 ,USA,Caucasian,Population,Breast Cancer,1048,1092,287,521,240,277,549,266
Onay et al,2006 ,Canada,Caucasian,Population,Breast Cancer,398,372,102,202,94,80,196,96
Chang et al,2006 ,China,Asian,Hospital,Breast Cancer,189,321,103,77,9,132,159,30
Modugno et al,2005 ,USA,Caucasian,Population,Breast Cancer,250,3950,49,124,77,903,1943,1104
Skibola et al,2005 ,USA,Caucasian,Population,nhl,305,679,75,153,77,193,323,163
Cheng et al,2005 ,China,Asian,Hospital,Breast Cancer,469,740,237,197,35,420,262,58
